ngram,doc_id,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,sentence_id,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
Li Dui,260,0,0,2,404,0,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,0,405,0,True,False,False,False,False,981084159343230821,0,99,17109001835818727656,2,413,378,6,0,0,0,0,0,7571453172128092820,0,95,15794550382381185553
Dui,260,0,0,1,404,0,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,0,7037928807040764755,378,True,False,False,False,False,7571453172128092820,0,95,15794550382381185553,2,413,378,6,0,0,0,0,0,7571453172128092820,0,95,15794550382381185553
Duke,112,1,0,1,436,378,0,True,False,False,False,False,4001829076959297198,0,95,15794550382381185553,0,7037928807040764755,0,True,False,False,False,False,476976212483144045,0,91,15308085513773655218,0,436,0,1,0,0,0,0,0,476976212483144045,0,91,15308085513773655218
Duke Wen,112,1,0,2,8206900633647566924,0,0,True,False,False,False,False,3573116604670608395,0,99,17109001835818727656,0,7037928807040764755,0,True,False,False,False,False,476976212483144045,0,91,15308085513773655218,0,436,0,1,0,0,0,0,0,476976212483144045,0,91,15308085513773655218
Wen,112,0,0,1,8206900633647566924,0,0,True,False,False,False,False,3573116604670608395,0,99,17109001835818727656,1,7037928807040764755,378,True,False,False,False,False,16883499373028730966,0,95,15794550382381185553,0,436,0,1,0,0,0,0,0,476976212483144045,0,91,15308085513773655218
Western,112,0,0,1,436,383,0,True,False,False,False,False,3730195523052730522,0,95,15794550382381185553,0,412,383,True,False,False,False,True,7425985699627899538,0,89,15267657372422890137,0,436,383,2,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
Western Mountain,112,0,0,2,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,0,412,383,True,False,False,False,True,7425985699627899538,0,89,15267657372422890137,0,436,383,2,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
Mountain,112,0,0,1,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,0,7037928807040764755,383,True,False,False,False,False,10555827227230857786,0,95,15794550382381185553,0,436,383,2,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
Duke,112,1,0,1,437,378,0,True,False,False,False,False,12923608006290613881,0,95,15794550382381185553,0,0,0,0,0,0,0,0,0,0,0,0,1,427,0,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Duke Jing,112,1,0,2,8110129090154140942,0,1,False,False,False,False,False,16428057658620181782,0,93,74,0,0,0,0,0,0,0,0,0,0,0,0,1,427,0,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Jing,112,0,0,1,8110129090154140942,0,1,False,False,False,False,False,16428057658620181782,0,93,74,1,7037928807040764755,0,True,False,False,False,False,16883499373028730966,0,95,15794550382381185553,1,427,0,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
