movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
294,Mr. Turner,2015,,97%,56%,149 minutes,Drama,R,,Mike Leigh,"Timothy Spall, Paul Jesson, Dorothy Atkinson, Marion Bailey, Lesley Manville, Martin Savage, Joshua McGuire, Ruth Sheen, Sandy Foster, Karl Johnson, Amy Dawson, Richard Bremmer, Niall Buggy, Fred Pearson, Tom Edden, David Horovitch, Jamie Thomas King, Mark Stanley (VI), Clive Francis, Robert Portal, Simon Chandler, Edward de Souza, Roger Ashton-Griffiths, James Fleet, Karina Fernandez, Alice Orr-Ewing, James Norton, David Ryall, Sylvestra Le Touzel, Stuart McQuarrie, Fenella Woolgar, Richard Cordery, Tom Wlaschiha, Marcello Magni, Mark Wingett, Sinead Matthews, Nicholas Woodeson, Michael Culkin, Eileen Davies, Elizabeth Berrington, Terence Hardiman",Mike Leigh
295,The Kindergarten Teacher,2018,,90%,66%,94 minutes,Drama,R,,Sara Colangelo,"Maggie Gyllenhaal, Parker Sevak, Rosa Salazar, Michael Chernus, Gael García Bernal, Daisy Tahan, Haley Murphy, Sam Jules, Anna Baryshnikov, Stefaniya Makarova, Gael Garca Bernal, Samrat Chakrabarti, Ajay Naidu, Ato Blankson-Wood, McManus Woodend, Aamira Martinez, Clark Carmichael, Carson Grant, Douglas Taurel, Kea Trevett, Shyaporn Theerakulstit",Sara Colangelo
296,Last Weekend,2014,,35%,35%,94 minutes,Comedy,NR,,"Tom Williams, Tom Dolby","Patricia Clarkson, Zachary Booth, Chris Mulkey, Joseph Cross, Devon Graye, Jayma Mays, Judith Light, Alexia Rasmussen, Rutina Wesley, Fran Kranz, Julie Carmen, Julio Oscar Mechoso, Sheila Kelley, Mary Kay Place",Tom Dolby
297,Kill Me Three Times,2015,,16%,30%,91 minutes,Mystery & Suspense,R,,Kriv Stenders,"Sullivan Stapleton, Simon Pegg, Teresa Palmer, Alice Braga, Callan Mulvey, Luke Hemsworth, Bryan Brown, Steve Le Marquand",James McFarland
298,Get Hard,2015,,28%,45%,100 minutes,Comedy,R,,Etan Cohen,"Will Ferrell, Kevin Hart, T.I., Alison Brie, Craig T. Nelson, Jay Pharoah, James Moses Black",Jay Martel
299,The Commuter,2018,,57%,39%,105 minutes,"Drama, Mystery & Suspense",PG-13,,Jaume Collet-Serra,"Liam Neeson, Vera Farmiga, Patrick Wilson, Elizabeth McGovern, Sam Neill, Jonathan Banks, Shazad Latif, Scott Killian, Killian Scott, Andy Nyman, Clara Lago, Florence Pugh, Dean-Charles Chapman, Ella-Rae Smith, Nila Aalia, Colin McFarlane, Kobna Holdbrook-Smith, Adam Nagaitis, Kingsley Ben-Adir, Damson Idris, Andy Lucas, Zaak Conway, Ben Caplan, Letitia Wright, Simon Hibbs, Nathan Wiley, Jamie Beamish, Ben Nathan, David Alwyn, Alastair Johns, Edward Bluemel, Aoife Hinds, Alana Maria, Pat Kiernan, Natalie Duddridge, Jaime Menéndez","Byron Willinger, Phil de Blasi"
300,Wiener-Dog,2016,,74%,41%,90 minutes,Comedy,R,,Todd Solondz,"Greta Gerwig, Kieran Culkin, Danny DeVito, Julie Delpy, Ellen Burstyn, Zosia Mamet, Tracy Letts, Samrat Chakrabarti, Keaton Nigel Cooke, Clara Mamet, Devin Druid, Kett Turton, Charlie Tahan, Bridget M. Brown, Jen Ponton, Trey Gerrald, Andrew Pang, Ari Graynor, Tyler Maynard, Sharon Washington",Todd Solondz
301,The Assassin,2016,,81%,47%,120 minutes,"Action & Adventure, Art House & International, Drama",PG-13,,Hsiao-hsien Hou,"Qi Shu, Chen Chang, Nikki Hsieh, Shao-Huai Chang, Sheu Fang-Yi, Ching-Tien Juan, Satoshi Tsumabuki, Zhen Yu Lei, Zhen Yu Lei, Fang Mei, Ni Dahong, Jacques Picoux, Chun Shih, Mei Yong, Yun Zhou","T'ien-wen Chu, Cheng Ah, Hsiao-hsien Hou, Hai Meng Hsieh, Cheng Ah, Hai-Meng Hsieh"
302,White Boy Rick,2018,,58%,51%,111 minutes,Drama,R,,Yann Demange,"Matthew McConaughey, Richie Merritt, Jennifer Jason Leigh, Rory Cochrane, Brian Tyree Henry, Bruce Dern, Piper Laurie, Bel Powley, Jonathan Majors, YG, R.J. Cyler, Taylour Paige, Kyanna Simone Simpson","Andy Weiss, Logan Miller , Noah Miller"
303,Blood Fest,2018,,60%,44%,90 minutes,"Comedy, Horror",NR,,Owen Egerton,"Seychelle Gabriel, Zachary Levi, Jacob Batalon, Tate Donovan, Robbie Kay, Nick Rutherford, Barbara Dunkelman",Owen Egerton
304,Famous Nathan,2015,,100%,69%,96 minutes,"Documentary, Special Interest",NR,,Lloyd Handwerker,"Lloyd Handwerker, Murray Handwerker, Ida Handwerker, Joe Handwerker, Hy Brown, Jimmy Bologna, Jack Dreitzer, Dotty Handwerker, Claire Kamiel, Sol Handwerker, Max Kamiel, Morty Matz, Johnny Pao, Lena Schuchman, Al Shalek, Anna Singer, Richard Traunstein, Felix Vasquez",Lloyd Handwerker
305,The Star,2018,,43%,71%,86 minutes,"Action & Adventure, Animation, Comedy, Kids & Family",PG,,Timothy Reckart,"Steven Yeun, Gina Rodriguez, Zachary Levi, Keegan-Michael Key, Kelly Clarkson, Anthony Anderson, Aidy Bryant, Ving Rhames, Gabriel Iglesias, Patricia Heaton, Kristin Chenoweth, Christopher Plummer, Tracy Morgan, Tyler Perry, Oprah Winfrey, Kris Kristofferson, Mariah Carey, Joel Osteen, Delilah, Joel McCrary, Phil Morris, Fred Tatasciore, Tex Lang, Roger Craig Smith, Joe Whyte, William Townsend, Gregg Berger, Melissa Sturm","Simon Moore, Carlos Kotkin"
306,[REC] 4: Apocalypse,2015,,71%,34%,96 minutes,"Art House & International, Drama, Horror",R,,Jaume Balagueró,"Manuela Velasco, Paco Manzanedo, Héctor Colomé, Ismael Fritschi, Críspulo Cabezas, Paco Obregón, Mariano Venancio, María Alfonsa Rosso, Javier Botet, Emilio Buale, Cristian Aquino, Javier Laorden, Mark Schardan","Jaume Balagueró, Manu Díaz"
307,Little Italy,2018,,19%,66%,102 minutes,"Comedy, Romance",NR,,Donald Petrie,"Hayden Christensen, Emma Roberts, Alyssa Milano","Steve Galluccio, Vinay Virmani"
308,The Sleepwalker,2015,,46%,27%,92 minutes,Drama,NR,,Mona Fastvold,"Gitte Witt, Christopher Abbott, Stephanie Ellis, Brady Corbet","Brady Corbet, Mona Fastvold"
309,A Fantastic Fear of Everything,2017,,34%,35%,141 minutes,"Art House & International, Comedy",R,,"Crispian Mills, Chris Hopewell","Simon Pegg, Amara Karan, Paul Freeman, Sheridan Smith, Alan Drake, Kiran Shah, Jack Jaikol Situn, Michael Feast, Henry Bowers, Henry Bowers-Broadbent, Clare Higgins, Mo Idriss, Doug Tulloch, Elliott Greene, Josh Warner-Campbell, Harley Kierans, Kamal Onyiukah, Millie Hagland, Pamela Cundell, Baxter Westby, Teresa Churcher, Bernard Cribbins, Don McCulloch, Golda John, Tuyet Le, Tamzin Griffin, J.J. Stanness, Jacqueline Chan",Crispian Mills
310,Black November,2015,,25%,38%,96 minutes,"Action & Adventure, Drama, Mystery & Suspense",NR,,Jeta Amata,"Mickey Rourke, Kim Basinger, Anne Heche, Akon, Wyclef Jean, Sarah Wayne Callies, Vivica A. Fox, Mbong Amata, Hakeem Kae-Kazim, Enyinna Nwigwe, Robert Peters, Ivar Brogger, George LePorte, Zack Amata, Isaac Yongo, Emmanuel Okhakhu, James Luper Sokpo, Dede Mabiaku, Nse Ikpe-Etim, Dennis Thegh, Dennis Thegh-Thegh, John Onah, Jane Unogwu, O.C. Ukeje, Joshua Fredric Smith, Lanny Joon, Jenifer Brougham, Peter Gannon, Kristin Peterson, Bob Morrisey, Nathin Butler, Aaron Hendry, Awuese Awunde, Nadine Nicole Heimann, Monica Himmel, Razaaq Adoti, Lonny John, Moses Orjir, Napoleon Adamu, Barbara Soky, Lanre Idewu, Persia White, William Goldman, Joan McCarthy, Kelsey Cooke, Joseph Potter, Cindy Vela, Dave Pavinski, Robert Sandler, Ken Miller, Fredson Mayiek, Ngozi Chima, Julia Ade Clarke, Petra Sprecher, Little Ese, George Edewor, Prince Kosoko, Austin Nwaolie, Monday Aboh, Igbe Solomon, Martina Ati, Gloria Ogwu, Peter Agber, James Zeghe, Victor Dimoji, Stacey Turner, Mary Hwande, Ibrahim Abba Gana, Regina Ode, Bill Davis, Sewuese Anikpabo, Joseph Shamel, Joyce Sky, Joe Rosie, Martin Kitappa",Jeta Amata
311,The Levelling,2017,,94%,58%,83 minutes,Drama,R,,Hope Dickson Leach,"Ellie Kendrick, David Troughton, Jack Holden, Joe Blakemore",Hope Dickson Leach
312,Time Trap,2018,,63%,75%,87 minutes,"Action & Adventure, Science Fiction & Fantasy",NR,,"Mark Dennis, Ben Foster","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich",Mark Dennis
313,Divide and Conquer: The Story of Roger Ailes,2018,,90%,69%,107 minutes,Documentary,NR,,Alexis Bloom,,
314,Ravenous (Les affamés),2018,,89%,57%,100 minutes,Horror,NR,,Robin Aubert,"Marc-Andre Grondin, Monia Chokri, Micheline Lanctôt, Brigitte Poupart, Charlotte St-Martin, Marie-Ginette Guay, Luc Proulx, Édouard Tremblay-Grenier",Robin Aubert
315,Unlocked,2017,,25%,41%,98 minutes,"Action & Adventure, Mystery & Suspense",R,,Michael Apted,"Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich, Michael Douglas",Peter O'Brien
316,Girl,2019,,83%,64%,100 minutes,"Art House & International, Drama",NR,,Lukas Dhont,"Victor Polster (II), Arieh Worthalter, Katelijne Damen, Valentijn Dhaenens, Oliver Bodart, Tijmen Govaerts","Lukas Dhont, Angelo Tijssens"
317,The Man From U.N.C.L.E.,2015,,66%,73%,116 minutes,"Action & Adventure, Comedy, Mystery & Suspense",PG-13,,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Hugh Grant, Jared Harris, Elizabeth Debicki, Luca Calvani, Sylvester Groth, Christian Berkel, Misha Kuznetsov, Guy Williams, Marianna Di Martino, Julian Michael Deuster, Andrea Cagliesi, Riccardo Calvanese, Peter Stark, David Menkin, Pablo Scola, Cesare Taurasi, Riccardo Flammini, Francesco De Vito, Luca Della Valle, Simona Caparrini, David Beckham, Alessandro Ananasso, Joana Metrass, Gabriel Farnese, Elbio Bonsaglio, Michael J. Peluso, Alan Turkington, Sergio Marini","Guy Ritchie, Lionel Wigram"
318,Viktor,2015,,0%,13%,97 minutes,"Action & Adventure, Mystery & Suspense",NR,,Philippe Martinez,"Gérard Depardieu, Elizabeth Hurley, Eli Danker, Jean Baptiste Fillon, Marika Gvilava, Evgeniya Akhremenko, Denis Karasev, Marcelo Mazzarella, Polina Kuzminskaya, Alexei Petrenko, Magomed Umarov, Boris Shevchenko, Nikolai Drozdovskiy, Maxim Dukhanov, Raisa Gichaeva, Mutalib Davletmirzoev, Alikhan Didigov, Madina Bolatmirzaeva, Prescilla Andreani, Paul Fargier, Julia Goncharova, Hozhbady Izrailov, Igor Yatsko, Hamid Azaev, Pavel Klimov, Mira Mukhamedova, Sophie Frilley, Alvi Mahauri, Suzanne Naharbekova, Razeta Hagieva, Heda Avzaeva, Shamil Alhanov, Feodor Golovin, Yulia Garger, Igor Melekhov",Philippe Martinez
319,Misfortune,2018,,20%,,90 minutes,Mystery & Suspense,NR,,Desmond Devenish,"Desmond Devenish, Xander Bailey, Vinicius Machado, Kevin Gage, Jenna Kanell, Nick Mancuso, Steve Earle",Desmond Devenish
320,Santa & Andrés,2017,,86%,,105 minutes,Drama,NR,,Carlos Lechuga,"Lola Amores, Eduardo N. Martinez, Eduardo Martinez, Cesar Domínguez, Luis Tinoco, Ederlys Rodriguez Perez, Luna Tinoco, George Abreu, Maikel Alexi Sánchez",Carlos Lechuga
321,Ordinary World,2016,,47%,47%,87 minutes,"Comedy, Drama, Musical & Performing Arts",NR,,Lee Kirk,"Billie Joe Armstrong, Selma Blair, Fred Armisen, Judy Greer, Chris Messina, Dallas Roberts, Kevin Corrigan, Brian Baumgartner, Madisyn Shipman, Mia Dillon, Lucas Papaelias, Rick Younger, Sean Gunn, Valentine Miele, Rebecca Naomi Jones, Ron Simons, Andrew Call, Joan Jett, Andy Grotelueschen, Don Guillory, Nancy Ticotin, Kevin Hoffman, Rufus Collins, Kresh Novakovic, Michael Devine, Mason Fleisher, Sandra Familia, Liam Sweeney, Eoghan Sweeney, Michelle Gunn",Lee Kirk
322,Glassland,2016,,83%,44%,89 minutes,Drama,NR,,Gerard Barrett,,
323,Radius,2017,,92%,60%,87 minutes,"Art House & International, Mystery & Suspense, Science Fiction & Fantasy",NR,,"Caroline Labrèche, Steeve Léonard","Diego Klattenhoff, Andrea del Campo, Robert Borges, Charlotte Sullivan, Nazariy Demkowicz","Caroline Labrèche, Steeve Léonard"
324,Fort Tilden,2016,,88%,49%,95 minutes,Comedy,R,,"Charles Rogers, Sarah-Violet Bliss","Bridey Elliott, Clare McNulty, Griffin Newman, Nell Casey, Neil Casey, Peter Vack, Alysia Reiner, Reggie Watts, Jeffrey Scaperrotta, Max Jenkins, John Early, Mark Wing-Davey, Will Hines, Debargo Sanyal, Elia Monte-Brown, Teresa Yenque, Ann Carr, Evan Hoyt Thompson, Desiree Nash, Becky Yamamoto","Sarah-Violet Bliss, Charles Rogers"
325,The Heart Machine,2015,,95%,48%,85 minutes,Drama,NR,,Zachary Wigon,"John Gallagher Jr., Kate Lyn Sheil, David Call, Louisa Krause, Roderick Hill, Halley Wegryn Gross, Libby Woodbridge, Sam Quartin, Lewis Jordan, Evan Louison, Peter Albrink, Gabe King, Ray Tintori, Katie Paxton, Jenny Donheiser",Zachary Wigon
326,The Discovery,2017,,45%,44%,101 minutes,"Drama, Science Fiction & Fantasy, Romance",NR,,Charlie McDowell,"Robert Redford, Rooney Mara, Jason Segel, Jesse Plemons, Riley Keough","Charlie McDowell, Justin Lader"
327,Scorched Earth,2018,,20%,46%,93 minutes,"Action & Adventure, Science Fiction & Fantasy",R,,Peter Howitt,"Gina Carano, John Hannah, Ryan Robbins, Dean S. Jagger, Óscar Manero, Stephanie Bennett","Kevin Leeson, Bobby Mort"
328,Esteros,2016,,100%,75%,82 minutes,"Drama, Romance",NR,,Papu Curotto,"Ignacio Rogers, Esteban Masturini, Joaquín Parada, Blas Finardi Niz, Renata Calmon, María Merlino, Marcelo Subiotto, Pablo Cura, Mariana Martinez, Felipe Tito",Andi Nachon
329,Home,2015,,50%,64%,93 minutes,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",PG,,Tim Johnson,"Jim Parsons, Rihanna, Jennifer Lopez, Steve Martin, Matt Jones, Brian Stepanek, April M. Lawrence, Stephen Kearin, Lisa Stewart, April Winchell, Gavin Greenaway","Matt Ember, Tom J. Astle"
330,Money Monster,2016,,58%,51%,90 minutes,Drama,R,,Jodie Foster,"George Clooney, Julia Roberts, Jack O'Connell, Dominic West, Caitriona Balfe, Giancarlo Esposito, Christopher Denham, Lenny Venito, Chris Bauer, Dennis Boutsikaris, Condola Rashad, Greta Lee, Emily Meade, Aaron Yoo, Carsey Walker Jr., Carsey Walker, Jr., James Warden, Joseph D. Reitman, Olivia Luccardi, Grizz Chapman, Robert C. Kirk, Genevieve Adams, Daoud Heidami, Anthony De Sando, Iván Martín, John Ventimiglia, Dominic Colón, Cliff Moylan, Chad Jennings, Brian Edwards, Jimmy Lee Gary Jr., Frantzy Orisma, Charlie Thurston, Patricia Dunnock, Michael Sahr Ngaujah, Vernon Campbell, Darri Ingolfsson, Svavar James Kristjansson, Hyejin Jang, Makhaola Ndebele, Daniel K.. Isaac, Jamar Greene, Rob Falcone, David Healy, Matt Walton, Katie McGee, Jenny Joslin, Pun Bandhu, Jake Choi, Bobby Kruger, Tyalaxandar, Nick Boraine, Jeff Witzke, Diomargy Nunez, Grant Rosenmeyer, Mizel Faison, Bryan Burton, Frank Pando, Rina Mejia, Katy Grenfell, Tanisha Scott, Shauna Mitchell, Pedro Morillo Jr., Tamara Treadwell, Kaeche Liburd, Whanita King, Andrew James","Alan DiFiore, Jamie Linden, Jim Kouf"
331,Man Up,2016,,81%,69%,88 minutes,"Comedy, Romance",NR,,Ben Palmer,"Ken Stott, Lake Bell, Olivia Williams, Ophelia Lovibond, Henry Lloyd-Hughes, Simon Pegg, Rory Kinnear, Dean-Charles Chapman, Stephen Campbell Moore, Harriet Walter, Sharon Horgan",Tess Morris
332,Hospitality,2018,,20%,40%,80 minutes,Mystery & Suspense,NR,,"Nick Chakwin, David Guglielmo","Emmanuelle Chriqui, JR Bourne, Jim Beaver, Sam Trammell, Conner McVicker","Nick Chakwin, David Guglielmo"
333,Tomorrow Ever After,2017,,86%,64%,95 minutes,"Comedy, Science Fiction & Fantasy",NR,,Ela Thier,"Ela Thier, Nabil Vinas, Ebbe Bassey, Matthew Murumba, Daphna Thier, Memo",Ela Thier
334,Show Dogs,2018,,16%,26%,92 minutes,"Comedy, Kids & Family",PG,,Raja Gosnell,"Will Arnett, Chris ""Ludacris"" Bridges, Natasha Lyonne, Stanley Tucci, Alan Cumming, Gabriel Iglesias, Shaquille O'Neal, Deila Sheppard, Cristina Dohmen, Andy Beckwith, Omar Chaparro, Kerry Shale, Atul Sharma","Max Botkin, Marc Hyman"
335,The Boss Baby,2017,,52%,51%,97 minutes,"Animation, Comedy, Kids & Family",PG,,Tom McGrath,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow, Miles Christopher Bakshi, James McGrath, Conrad Vernon, ViviAnn Yee, Eric Bell Jr., David Soren, Eric Bell, Jr., Edie Mirman, James Ryan, Walt Dohrn, Jules Winter, Nina Zoe Bakshi, Tom McGrath, Brian Hopkins, Glenn Harmon, Joseph Izzo, Chris Miller, Andrea Montana Knoll, Christopher Miller, Chloe Albrecht, Tobey Maguire",Michael McCullers
336,6 Years,2016,,67%,34%,85 minutes,"Drama, Romance",NR,,Hannah Fidell,"Ben Rosenfield (II), Joshua Leonard, Lindsay Burdge, Peter Vack, Taissa Farmiga, Jennifer LaFleur, Dana Wheeler-Nicholson, Molly McMichael, Jason Newman, Alysia Lucas, Dillon Cavitt, Elizabeth Lestina, Nichole Worrell, Corby Sullivan, Scott Colquitt, Nathan Zellner, Cody Haltom, Jess Williamson, Ben Sklar, Matthew Genitempo, Haroula Rose, Mike Tully",Hannah Fidell
337,The Land of Steady Habits,2018,,86%,49%,98 minutes,"Comedy, Drama",NR,,Nicole Holofcener,"Ben Mendelsohn, Connie Britton, Thomas Mann, Edie Falco, Natalie Gold, Charlie Tahan, Elizabeth Marvel, Bill Camp",Nicole Holofcener
338,In The Courtyard,2015,,67%,47%,97 minutes,"Comedy, Drama",R,,Pierre Salvadori,"Catherine Deneuve, Gustave de Kervern, Pio Marmaï, Feodor Atkine, Michèle Moretti, Nicolas Bouchaud","David Léotard, Pierre Salvadori"
339,Glen Campbell: I'll Be Me,2015,,100%,88%,116 minutes,"Documentary, Musical & Performing Arts",PG,,James Keach,"Bruce Springsteen, Bill Clinton, Paul McCartney, Jay Leno, Blake Shelton, Sheryl Crow, Keith Urban, Brad Paisley, Kimberly Lynn Campbell, Ashley LeConte Campbell, Cal Campbell, Shannon Campbell, T.J. Kuenster, Ry Jarred, Siggy Sjursen, Kiefo Nilsson, Dr. Ronald Petersen, Bobbie Gale, Gerald Campbell, Jane Campbell, Sandy Campbell, Kelli Campbell, Debby Campbell-Cloyd",
340,The 5th Wave,2016,,15%,38%,112 minutes,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",PG-13,,J Blakeson,"Chloë Grace Moretz, Nick Robinson, Alex Roe, Nicholas John Robinson, Liev Schreiber, Ron Livingston, Maika Monroe, Maria Bello, Maggie Siff, Tony Revolori, Alex MacNicoll, Marc John Jefferies, Nadji Jeter, Talitha Bateman, E. Roger Mitchell, Terry Serpico, Bailey Anne Borders, Charmin Lee, Parker Wierling, Zackary Arthur, Madison Staines, Gabriela Lopez, Cade Canon Ball, Tara Jones, Derek Roberts, Hunter Denoyelles, Geoffrey Kennedy, Devin McGee, Justin Smith, Adora Dei, Kevin L. Johnson, Flynn McHugh, Courtney Munch, Kendrick Cross, Chelsea Hayes, Michael Beasley, Nick Glennie-Smith","Susannah Grant, Akiva Goldsman, Jeff Pinkner"
341,L.A. Slasher,2015,,0%,32%,86 minutes,"Comedy, Science Fiction & Fantasy",R,,Owen Martin,"Mischa Barton, Eric Roberts, Andy Dick, Dave Bautista, Danny Trejo, Abigail Wright, Frank Collison, Marisa Lauren, Drake Bell, Tori Black, Brooke Hogan, Korrina Rico, Elizabeth Morris, Andrew de Burgh, Daniel Sollinger, Tim Burke, Carlee Baker, Allison Kyler, Barbara Nedeljáková, Ashlynn Yennie, James Heikkila, William Nicol, Jane Noble, Louis Dezseran, Franklin Ruehl, Larry Wrentz, Owen Martin, Simon Nagel, Cassandra Surina, Chris Dowdy, Brittany Ann Cormack","Owen Martin, Abigail Wright, Elizabeth Morris"
342,The Salt of the Earth,2015,,94%,90%,110 minutes,"Documentary, Special Interest",PG-13,,"Wim Wenders, Juliano Ribeiro Salgado","Sebastião Salgado, Wim Wenders, Juliano Ribeiro Salgado, Juliano Ribeiro Salgado, Hugo Barbier, Jacques Barthelemy","Wim Wenders, Juliano Ribeiro Salgado, David Rosier"
343,Thunder and the House of Magic,2015,,73%,53%,85 minutes,"Action & Adventure, Animation, Art House & International, Kids & Family",NR,,"Ben Stassen, Jeremy Degruson, Jeremie Degruson","Eugene Levy, Cinda Adams, Murray Blue, Doug Stone, Edward Asner, Grant George, Kiefer Sutherland, Emily Blunt, George Babbit, Shanelle Gray, Joey Carmen, Ewan McGregor, Kathleen Browers, William Shatner, Joey Camen, Ron Perlman","James Flynn, Ben Stassen, Dominic Paris, Domonic Paris"
344,Bring Me the Head of the Machine Gun Woman (Tráiganme la cabeza de la mujer metralleta),2015,,50%,44%,75 minutes,Action & Adventure,NR,,Ernesto Díaz Espinoza,"Daniel Antivilo, Felipe Avello, Jorge Alis, Mauricio Pesutic, Matías Oviedo, Fernanda Urrejola",Ernesto Díaz Espinoza
345,I'm Not Ashamed,2017,,20%,83%,112 minutes,Drama,PG-13,,Brian Baugh,"Masey McLain, Sadie Robertson, Ben Davies, Korie Robertson, Jaci Velasquez, Terri Minton, Jennifer O'Neill, Cameron McKendry, Victoria Elizabeth Staley, Taylor Kalupa, Emma Elle Roberts, David Errigo Jr., David Errigo, Jr., Cory Chapman, Mark Daugherty, Justin Cone, Ben VanderMey, Nancy Stafford, Matthew Schuler, Josh Castle, Daniel Simpkins, Nola Fulk, Bella Robertson, Derick VonTagen, Anna Grace Stewart, Ashlyn Moore, John Newberg, Isaac Lovoy, Lauren Crawford, Abigail Duhon, Wynn Reichert, Ryan Ketzner, Rose Reid, Omar Lagudali, Brentley Gore, Brad Abrell, Reen Vogel, Tammy Hyler, Jessa Zarubica, Douglas M. Griffin, Amelia Mann, Seth Walden, Julianne Fincher, Austin Cole, Austin Coleman","Philipa Booyens, Kari Redmond, Bodie Thoene"
346,Precious Cargo,2016,,0%,23%,90 minutes,Action & Adventure,R,,Max Adams,"Bruce Willis, Mark-Paul Gosselaar, Claire Forlani, Ashley Kirk, John Brotherton, Daniel Bernhardt, Lydia Hull, Jenna B. Kelly, Nick Loeb, Sammi Barber, Tyler Jon Olson, Christopher Rob Bowen, Madison West Gill, David Gordon, Torrie Wilson, John Dauer, Martin Blencowe, Jesse Pruett, Mackie Burt, Sam Situmorang, Jonathan Hammond, Christopher Sileo","Max Adams, Paul V. Seetachitt"
347,Ways To Live Forever,2015,,83%,78%,95 minutes,"Drama, Kids & Family",PG-13,,Gustavo Ron,"Ben Chaplin, Emilia Fox, Greta Scacchi, Robbie Kay, Alex Etel, Ella Purnell, Natalia Tena, Phyllida Law, Eloise Barnes",Gustavo Ron
348,Coco,2018,,97%,94%,109 minutes,"Action & Adventure, Animation, Comedy, Kids & Family",PG,,"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil, Gabriel Iglesias, Ana Ofelia Murguía, Edward James Olmos, Alfonso Arau, Herbert Siguenza, Lombardo Boyar, Natalia Cordova-Buckley, Selene Luna, Sofía Espinosa, Carla Medina, Dyana Ortelli, Luis Valdez, Blanca Araceli, Salvador Reyes, Cheech Marin, Octavio Solis, John Ratzenberger, Lalo Alcaraz","Adrian Molina, Matthew Aldrich"
