movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
1679,Ouija: Origin of Evil,2017,,82%,57%,99 minutes,"Horror, Mystery & Suspense",PG-13,,Mike Flanagan,"Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas, Parker Mack, Halle Charlton, Alexis G. Zall, Doug Jones, Kate Siegel, Sam Anderson, Chelsea Gonzalez, Lincoln Melcher, Nicholas Keenan, Michael Weaver, Ele Keats, Eve Gordon, Chad Heffelfinger, Nina Mansker, John Prosky, Lin Shaye","Mike Flanagan, Jeff Howard"
1680,Mission of Honor,2019,,83%,44%,107 minutes,"Art House & International, Drama",NR,,David Blair,"Iwan Rheon, Milo Gibson, Stefanie Martini, Krystof Hádek, Marcin Dorocinski, Christopher Jaciow","Robert Ryan, Alastair Galbraith"
1681,Bessie,2015,,89%,67%,113 minutes,"Drama, Television",R,,Dee Rees,"Queen Latifah, Bryan Greenberg, Charles S. Dutton, Khandi Alexander, Michael Kenneth Williams, Mike Epps, Mo'Nique, Oliver Platt, Tika Sumpter, Tory Kittles","Dee Rees, Christopher Cleveland, Bettina Gilois"
1682,Havana Motor Club,2016,,88%,40%,84 minutes,"Documentary, Drama, Sports & Fitness",NR,,Bent-Jorgen Perlmutt,"Reynaldo López García, Carlos Alvarez Sanchez, Armando Munnet Rodriguez, Jose Antonio Madera, Reinaldo López Fernández, Naomi Lopez, Yatselis Lopez, Saul Garcia, Jorge Estanos Rodriguez, Yusniel Marante Montero, Luzbani Martinez Ramirez, Michael Madera, Yanelis Gonzalez, Nayelis Madera, Dariel Madera, Arturo Pena Gonzalez, Jose Alberto Lopez Fernandez, Milton Díaz Canter, Ernesto ""Quico"" Dobarganes, Octavio Torres Rodriguez, Marcel Piedra Cervantes, Lorenzo Munnet Perez, Eduardo Hernandez Dominguez, Andy Hernandez, Endy Hernandez, Misbelys Diaz Munoz, Osvaldo Alvarez Glugonas, Hendy Cobas, Yanet Cobas, David Pena, Marylis Perez, Amparo García, Cristian Lopez",Bent-Jorgen Perlmutt
1683,Under the Gun,2016,,100%,42%,105 minutes,Documentary,R,,Stephanie Soechtig,"Katie Couric, Mark Follman, William Vizzard, Robyn Thomas, Tom Diaz, Michael Waldman, Richard Feldman, Rep. Robin Kelly, Kaile Shilling, Arkadi Gerney, Daniel Webster, ScD, Josh Sugarmann, Carolyn McCarthy","Brian Lazarte, Mark Monroe, Stephanie Soechtig"
1684,Skyscraper,2018,,47%,66%,103 minutes,"Action & Adventure, Drama",PG-13,,Rawson Marshall Thurber,"Dwayne Johnson, Neve Campbell, Chin Han, Noah Taylor, Roland Møller, Byron Mann, Pablo Schreiber, Hannah Quinlivan",Rawson Marshall Thurber
1685,The Human Centipede III (Final Sequence),2015,,18%,10%,100 minutes,Horror,NR,,Tom Six,"Dieter Laser, Laurence R. Harvey, Robert LaSardo, Tommy ""Tiny"" Lister, Jay Tavare, Eric Roberts, Bree Olson, Clayton Rohner, Michael Flores, Tom Six, Peter Blankenstein, Carlos Ramirez, Bill Hutchens, Chris Clanton, David A. Garcia, M@tch, Noah Staggs, Jon Peacy, Dominic Bagarozzi, Darell M. Davie, Jason James, Craig Cooper, James Darnell, Brian Bell, Jared Degado, Julian Bane, Daniel TwoFeathers, Aswad Ali, Jonny Ortiz, Christian O'Brien, Beach Eastwood, Sam Silverstein, Matt Callahan, Courtney Rice",Tom Six
1686,Plot for Peace,2015,,75%,82%,96 minutes,"Documentary, Mystery & Suspense, Special Interest",NR,,"Mandy Jacobson, Carlos Agullo",,
1687,Bleak Street (La calle de la amargura),2017,,55%,38%,99 minutes,"Art House & International, Comedy, Drama",NR,,Arturo Ripstein,"Alberto Estrella, Arcelia Ramirez, Silvia Pasquel, Patricia Reyes Spíndola, Alejandro Suarez, Alejandro Suarez, Nora Velázquez, Erando González, Paola Arroyo, Juan Longoria, Guillermo Lopez, Emoé DeLa Parra, Greta Cervantes, Eligio Meléndez, Lety Gomez",Paz Alicia Garcíadiego
1688,Camp X-Ray,2015,,75%,63%,117 minutes,Drama,R,,Peter Sattler,"Kristen Stewart, Peyman Moaadi, Lane Garrison, J.J. Soria, John Carroll Lynch, Nawal Bengholam, Mark Naji, Anoop Simon, Cory Michael Smith, Ser'Darius Blain, Tara Holt, Ladell Preston, Daniel Leavitt, Marco Khan, Julia Duffy, Robert Tarpinian, Kyle Bornheimer, Yusef Azami, Brandon Seider",Peter Sattler
1689,Antibirth,2017,,68%,33%,90 minutes,Horror,NR,,Danny Perez,"Natasha Lyonne, Chloë Sevigny, Meg Tilly, Mark Webber, Maxwell McCabe-Lokos, Emmanuel Kabongo, Neville Edwards, Morgan Bedard, Corey Pascall, Lili Francks, Marie-Josee Dionne, Jessica Greco, Kevin Hoffman, Spider Allen, Chad Gibbons, Megan Dawson, Wayne St. George, John MacRae, David Scott",Danny Perez
1690,All We Had,2017,,42%,48%,105 minutes,Drama,NR,,Katie Holmes,"Katie Holmes, Stefania Owen, Luke Wilson, Richard Kind, Mark Consuelos, Odiseas Georgiadis, Judy Greer, Richard Petrocelli, Osh Ghanimah, Michael Cavadias, Tim Markham, Aly Brier, Lolita Foster, Randy Gonzalez, Milly Guzman, Siobhan Fallon Hogan, Amelie McKendry, Rahmel Long","Josh Boone, Jill Killington"
1691,The Intervention,2016,,81%,49%,90 minutes,"Comedy, Drama",R,,Clea DuVall,"Melanie Lynskey, Natasha Lyonne, Vincent Piazza, Cobie Smulders, Alia Shawkat, Clea DuVall, Jason Ritter, Ben Schwartz",Clea DuVall
1692,Stray,2019,,57%,17%,89 minutes,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",NR,,Joe Sill,"Karen Fukuhara, Miyavi, Christine Woods, Ross Partridge, Takayo Fischer, Kiran Deol","J.D. Dillard, Alex Theurer"
1693,Cell,2016,,12%,17%,98 minutes,Horror,R,,Tod Williams,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Stacy Keach, Owen Teague, Alex ter Avest, Clark Sarullo, Joshua Mikel, Griffin Freeman, Catherine Dyer, Ethan Andrew Casto, Erin Elizabeth Burns, Wilbur Fitzgerald, Anthony Reynolds, E. Roger Mitchell, Mandi Christine Kerr, Elizabeth Davidovich, Lloyd Kaufman, Gaby Leyner, Jeffrey Hallman, Mark Ashworth, Frederick C. Johnson Jr., Rey Hernandez, Michael Beasley","Stephen King, Adam Alleca"
